incident_num,shooting_date,district,victim_gender,victim_race,multi_victim,v_hispanic_or_latinx,fatal,district_name
I182054207,2018-07-10 13:05:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182054067,2018-07-09 21:06:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I182053955,2018-07-09 16:02:00+00,D4,Male,Black or African American,f,TRUE,FALSE,South End
I182055198,2018-07-13 14:01:34+00,E13,Female,Black or African American,f,FALSE,FALSE,Jamaica Plain
I182056227,2018-07-17 11:34:00+00,B3,Female,Black or African American,f,FALSE,FALSE,Mattapan
I182057654,2018-07-22 04:24:00+00,E18,Male,Black or African American,t,FALSE,TRUE,Hyde Park
I182057654,2018-07-22 04:24:00+00,E18,Male,Black or African American,t,FALSE,FALSE,Hyde Park
I182058179,2018-07-23 21:41:00+00,D4,Male,Black or African American,f,FALSE,FALSE,South End
I182058835,2018-07-25 22:57:00+00,B3,Male,White,t,TRUE,TRUE,Mattapan
I182058835,2018-07-25 22:57:00+00,B3,Male,White,t,TRUE,FALSE,Mattapan
I182060366,2018-07-31 02:17:00+00,C11,Female,Black or African American,f,FALSE,FALSE,Dorchester
I182060309,2018-07-30 21:31:00+00,E5,Male,Black or African American,f,FALSE,FALSE,West Roxbury
I182061280,2018-08-02 21:54:00+00,E13,Male,Black or African American,f,FALSE,FALSE,Jamaica Plain
I182061887,2018-08-04 22:53:00+00,D14,Female,White,f,TRUE,FALSE,Brighton
I182061662,2018-08-04 02:12:00+00,E13,Male,Black or African American,f,FALSE,FALSE,Jamaica Plain
I182062147,2018-08-05 23:18:00+00,C6,Male,Black or African American,f,FALSE,FALSE,South Boston
I182060953,2018-08-01 23:27:00+00,B3,Male,Black or African American,f,FALSE,TRUE,Mattapan
I182062810,2018-08-08 01:01:18+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I182064056,2018-08-11 23:14:00+00,B3,Male,Black or African American,f,FALSE,TRUE,Mattapan
I182064331,2018-08-12 22:52:00+00,D14,Male,White,f,TRUE,FALSE,Brighton
I182064319,2018-08-12 21:18:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182064057,2018-08-11 22:28:00+00,C11,Male,Black or African American,f,TRUE,FALSE,Dorchester
I182063831,2018-08-11 05:43:00+00,B2,Male,White,f,TRUE,FALSE,Roxbury
I182064699,2018-08-14 09:48:45+00,B3,Male,Black or African American,t,FALSE,TRUE,Mattapan
I182064699,2018-08-14 09:48:36+00,B3,Male,Black or African American,t,FALSE,FALSE,Mattapan
I182064699,2018-08-14 09:48:09+00,B3,Male,Black or African American,t,FALSE,FALSE,Mattapan
I182066420,2018-08-19 22:46:00+00,A15,Male,White,f,TRUE,FALSE,Charlestown
I182067317,2018-08-22 19:12:00+00,B2,Male,White,f,TRUE,TRUE,Roxbury
I182068876,2018-08-27 22:56:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182069509,2018-08-29 23:19:00+00,E18,Male,Black or African American,f,FALSE,FALSE,Hyde Park
I182070186,2018-09-01 05:22:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I182070974,2018-09-03 23:48:00+00,E13,Male,Black or African American,f,FALSE,FALSE,Jamaica Plain
I182070957,2018-09-03 21:38:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I182070806,2018-09-03 12:23:08+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182070720,2018-09-03 01:00:00+00,C11,Female,White,t,TRUE,FALSE,Dorchester
I182070720,2018-09-03 01:00:00+00,C11,Male,White,t,FALSE,FALSE,Dorchester
I182071566,2018-09-05 07:01:00+00,E13,Male,White,f,FALSE,FALSE,Jamaica Plain
I182074555,2018-09-15 20:12:00+00,B2,Male,Black or African American,t,FALSE,TRUE,Roxbury
I182074555,2018-09-15 20:12:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I182074638,2018-09-16 03:17:00+00,D4,Male,Black or African American,f,FALSE,FALSE,South End
I182074372,2018-09-15 03:35:00+00,C11,Male,Black or African American,t,FALSE,FALSE,Dorchester
I182074372 ,2018-09-15 03:35:00+00,C11,Male,Black or African American,t,FALSE,FALSE,Dorchester
I182075690,2018-09-19 14:18:00+00,B2,Male,Black or African American,f,TRUE,FALSE,Roxbury
I182076074,2018-09-20 17:10:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182076789,2018-09-22 21:46:00+00,E13,Male,White,f,TRUE,TRUE,Jamaica Plain
I182077113,2018-09-24 06:20:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182076987,2018-09-23 13:53:00+00,D4,Male,White,f,FALSE,FALSE,South End
I182078893,2018-09-28 21:12:20+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182078872,2018-09-29 19:21:15+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182078305,2018-09-27 20:48:24+00,B3,Male,Black or African American,f,FALSE,TRUE,Mattapan
I182077958,2018-09-26 20:20:08+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I182077846,2018-09-26 14:45:04+00,E13,Male,White,f,TRUE,FALSE,Jamaica Plain
I182079821,2018-10-03 08:02:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182079788,2018-10-03 04:31:00+00,C6,Male,Black or African American,f,FALSE,FALSE,South Boston
I182079783,2018-10-03 12:30:00+00,B2,Female,Black or African American,f,FALSE,FALSE,Roxbury
I182080411,2018-10-05 03:31:00+00,C6,Male,Black or African American,f,FALSE,TRUE,South Boston
I182080608,2018-10-05 17:03:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182080649,2018-10-05 18:48:00+00,B2,Male,Black or African American,t,FALSE,TRUE,Roxbury
I182080649,2018-10-05 18:48:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I182080674,2018-10-05 21:52:00+00,E18,Male,Black or African American,f,FALSE,FALSE,Hyde Park
I182080967,2018-10-06 23:38:00+00,C11,Male,Black or African American,f,TRUE,TRUE,Dorchester
I182080989,2018-10-07 02:28:00+00,B3,Male,Black or African American,f,FALSE,TRUE,Mattapan
I182081058,2018-10-07 11:28:00+00,B3,Male,Black or African American,f,FALSE,TRUE,Mattapan
I182082103,2018-10-10 23:54:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182082113,2018-10-11 02:08:00+00,C11,Male,Black or African American,f,FALSE,TRUE,Dorchester
